gift,Untitled,Drawing,"[UR-NTbx] メモ用紙に蛍光ペン/鉛筆x2 by 010001111000, 2016",3d,
bought,ass as sin,Drawing,"[UR-NTbx] by 皆藤齋　グレー厚紙に鉛筆,白上質紙にペン, 2016",3d,
bought,Kazuki & Rat,Papercraft,"[UR-NTbx] by Kazquiz, 2016 (https://www.kazquiz.com/kazuki-rat)",3d,
gift,Untitled,Painting,"[UR-NTbx] 小作品×8 by 松尾信太郎 , 2017",3d,
gift,Untitled,Painting,"[UR-NTbx] by 趙里奈　キャンバスに絵の具, 2017",3d,
gift,GOUFFRE,Artwork,"ガラス板にリソグラフプリント(GOUFFRE Group Show at レトロ印刷JAM) by Alexis Beauclair, 2017",
gift,FACES,Artwork,"マグネットパズル(FACES/CATACLOP at PANTALOON) by Alexis Beauclair, 2017",
gift,∧°┐ Cap,Papercraft,"[UR-NTbx] 紙製帽子 by 丸目龍介, 2018",3d,
collaborations,things that i heard in New York,Cards,"[UR-NTbx] 02 by Sarah Marshall, 2018",3d,
collaborations,Nissed,Artworks,"[UR-NTbx] 03 (CDケース,メモ用紙) by 松延総司, 2018 ",3d,
